Academy Loremaster,0.048818897637795275,124.0,R,Blue
Academy Wall,0.0006684119645741659,12.0,C,Blue
Adarkar Wastes,0.05196350654502182,131.0,R,Colourless
Aether Channeler,0.8323147440794499,2179.0,R,Blue
Aggressive Sabotage,5.5679287305122496e-05,1.0,C,Black
"Ajani, Sleeper Agent",0.871616395978345,1127.0,M,"White, Green"
Anointed Peacekeeper,0.7303459119496856,1858.0,R,White
Archangel of Wrath,0.9938390450519831,2581.0,R,White
Argivian Cavalier,0.04728703964014619,841.0,C,White
Argivian Phalanx,0.004457072817427155,80.0,C,White
"Aron, Benalia's Ruin",0.11414096259871852,766.0,U,"White, Black"
Artillery Blast,0.0017334899066152212,31.0,C,White
"Astor, Bearer of Blades",0.08339738662567256,217.0,R,"White, Red"
Automatic Librarian,5.584096493187402e-05,1.0,C,Colourless
"Baird, Argivian Recruiter",0.13050522904698778,886.0,U,"White, Red"
Balduvian Atrocity,0.023126595584922662,154.0,U,Black
Balduvian Berserker,0.049488813157504814,334.0,U,Red
"Balmor, Battlemage Captain",0.317474566128067,2122.0,U,"Blue, Red"
Barkweave Crusher,5.611672278338945e-05,1.0,C,Green
Battle-Rage Blessing,0.0,0.0,C,Black
Battlefly Swarm,0.00033791394458211306,6.0,C,Black
Battlewing Mystic,0.1760143198090692,1180.0,U,Blue
Benalish Faithbonder,0.00033791394458211306,6.0,C,White
Benalish Sleeper,0.0028748590755355127,51.0,C,White
Bite Down,0.014102781068426693,250.0,C,Green
Blight Pile,0.09451489236213506,641.0,U,Black
Bog Badger,0.00011112963271656387,2.0,C,Green
Bone Splinters,0.0015655577299412916,28.0,C,Black
Bortuk Bonerattle,0.226065014101232,1523.0,U,"Black, Green"
Braids's Frightful Return,0.02579132473622509,176.0,U,Black
"Braids, Arisen Nightmare",0.6714501510574018,1778.0,R,Black
Broken Wings,0.0,0.0,C,Green
Captain's Call,0.0073661718398560505,131.0,C,White
Caves of Koilos,0.04988028731045491,125.0,R,Colourless
Chaotic Transformation,0.016266460108443067,42.0,R,Red
Charismatic Vanguard,0.0002226551628165878,4.0,C,White
Choking Miasma,0.04167898315104936,282.0,U,Black
Citizen's Arrest,0.05719247143177235,1021.0,C,White
Cleaving Skyrider,0.107263886842493,728.0,U,White
Clockwork Drawbridge,0.0004490597810833567,8.0,C,White
Coalition Skyknight,0.01755702280912365,117.0,U,White
Coalition Warbrute,0.0006710658763001902,12.0,C,Red
Colossal Growth,0.0010084033613445378,18.0,C,Green
Combat Research,0.00803030303030303,53.0,U,Blue
